title,id
Ronald Reagan Washington National Airport,181392
Heathrow airport,182647
Rafael Hernández Airport,185877
First class airport,190945
Kansai International Airport,190972
Kan'sai International Airport,193320
Kastrup Airport,194881
Copenhagen Airport,194884
"Sandefjord Airport, Torp",194887
Kjeller Airport,194957
BWI Airport,199667
Stavanger Airport,202448
Murcia–San Javier Airport,204409
Saddam International Airport,205926
Baghdad airport,206079
Luton Airport,206934
Logan International Airport,211579
Dorado Airport,218597
Fernando Luis Ribas Dominicci Airport,218699
Antonio Rivera Rodríguez Airport,219434
Alexander Hamilton International Airport,221981
Henry E. Rohlson International Airport,221982
Henry E. Rolhson International Airport,222832
Model airport,222834
Jorge Chavez International Airport,223941
London Heathrow International Airport,228127
London City Airport,239680
Clinton National Airport,241584
London Heathrow airport,242269
Léopold Sédar Senghor International Airport,242627
Frankfurt Airport,248285
Ministro Pistarini International Airport,248418
Leonardo da Vinci–Fiumicino Airport,248428
Hartsfield–Jackson Atlanta International Airport,248446
O'Hare International Airport,248449
Hong Kong International Airport,248457
William P. Hobby Airport,248473
Dallas Fort Worth International Airport,248480
Newark Liberty International Airport,248492
LaGuardia Airport,248547
Molde Årø Airport,248652
Oslo Gardermoen Airport,248664
Ellington Airport (Texas),249291
Midway International Airport,249627
Long Island MacArthur Airport,249689
Westchester County Airport,249690
Stewart International Airport,249697
Dulles Washington Airport,249732
Blackbushe Airport,249743
Baltimore–Washington International Airport,249911
Stavanger Airport Sola,250084
Fiuminicio International Airport,250210
Ronald Reagan National Airport,250445
John Wayne Airport,250456
San Francisco International Airport,250462
Oakland International Airport,250472
Hollywood Burbank Airport,250473
Burbank-Glendale-Pasadena Airport,250474
Long Beach Airport,250476
Ontario International Airport,250477
Oxnard Airport,250482
Orly Airport,250493
Lt. General Edward Lawrence Logan International Airport,250557
Schiphol airport,251121
Charles de Gaulle airport,251139
Frankfurt airport,251164
List of the busiest airports,251218
List of airports in the United Kingdom and the British Crown Dependencies,251428
Zurich Airport,253102
La Guardia Airport,253105
Hartsfield International Airport,253109
Luis Muñoz Marin International Airport,253117
Charles De Gaulle International Airport,257168
Newark Airport (disambiguation),258715
Fresno Yosemite International Airport,262470
Gerald R. Ford International Airport,262473
Meadows Field Airport,262478
Cleveland Hopkins International Airport,262484
MBS International Airport,262488
Pittsburgh International Airport,262525
Harry Reid International Airport,262540
Austin–Bergstrom International Airport,262542
Bergstrom International Airport,262548
Philadelphia International Airport,262559
Tampa International Airport,262567
Houston Intercontinental Airport,263582
Dallas-Ft. Worth International Airport,263583
Dorval International Airport,263590
Montréal–Trudeau International Airport,263611
Minneapolis–Saint Paul International Airport,263616
Minneapolis/Saint Paul International Airport,263617
Orlando International Airport,263637
Memphis International Airport,263638
Bradley International Airport,263642
Detroit Metropolitian Wayne County Airport,263644
Denver International Airport,263648
San Diego International Airport,263650
Louis Armstrong New Orleans International Airport,263651
Newark International Airport,263652
Newark Liberty Airport,263653
Liberty International Airport,263654
La Guardia International Airport,263761
Ambient 1: Music for Airports,263791
London International Airport,264093
Sheremetyevo International Airport,264213
Montreal-Dorval International Airport,264219
Louisville International Airport,264229
St. Louis Lambert International Airport,264236
Salt Lake City International Airport,264241
Seattle–Tacoma International Airport,264272
Seattle-Tacoma Airport,264274
Daniel K. Inouye International Airport,264285
Cincinnati-Northern Kentucky International Airport,264292
Charlotte Douglas International Airport,264293
Schipol Airport,264352
Cincinnati/Northern Kentucky International Airport,264379
Eugene Airport,264772
John F. Kennedy Airport,264858
IATA Airport Code,265596
Auckland Airport,265702
Schipol International Airport,266233
Don Mueang International Airport,266286
Chiang Mai International Airport,266300
Hat Yai International Airport,266301
Phuket International Airport,266302
Chiang Rai International Airport,266303
Sydney Airport,266313
Sydney Airport (disambiguation),266316
Melbourne Airport,266317
Tullamarine International Airport,266323
Cape Town International Airport,266326
Taoyuan International Airport,266327
Norfolk International Airport,266328
Chiang Kai Shek International Airport,266332
Tullamarine Airport,266370
Durban International Airport,266537
King Phalo Airport,266540
George Airport,266557
San Carlos Airport (California),266566
Chief Dawid Stuurman International Airport,266738
Taipei International Airport,266795
John Fitzgerald Kennedy International Airport,266915
George Herbert Walker Bush Intercontinental Airport,266943
Richmond International Airport,266946
Ronald Reagan-Washington National Airport,266952
Raleigh–Durham International Airport,266955
Manchester Airport,266959
Munich Airport,266998
List of airports in North America,267632
List of Airports,267634
List of non-commercial worldwide airports,267639
List of Non-Commercial Airports Worldwide,267640
List of Non-Commercial Worldwide Airports,267695
List of Non-Commercial North American Airports,267698
Owen Roberts International Airport,267700
Norman Manley International Airport,267703
Linate Airport,267709
Orio al Serio International Airport,267710
List of non-commercial airports worldwide,267715
Venice Marco Polo Airport,267789
Fort Lauderdale–Hollywood International Airport,267832
Rhode Island T. F. Green International Airport,267865
Kai Tak Airport,267940
Airport Express,268058
Airport express,268068
Louis Armstrong International Airport,268312
Norman Y. Mineta San Jose International Airport,268330
Northwest Arkansas National Airport,268332
Norman Yoshio Mineta San Jose International Airport,268334
Stapleton International Airport,268465
Stapleton Airport,268466
El Paso International Airport,269621
San Antonio International Airport,269635
Brussels Airport,269753
Québec City Jean Lesage International Airport,269780
Halifax Stanfield International Airport,269784
Indianapolis International Airport,269813
Fort Wayne International Airport,269817
St. Pete–Clearwater International Airport,269856
Orlando Sanford International Airport,269868
John Glenn Columbus International Airport,269883
Stuttgart Airport,270015
Jan Smuts International Airport,270027
Don Muang International Airport,270028
Ted Stevens Anchorage International Airport,271087
Milwaukee Mitchell International Airport,271105
Berlin Brandenburg Airport,271709
Berlin Schönefeld Airport,271754
Berlin Tegel Airport,271834
Berlin Tempelhof Airport,271851
Heathrow International Airport,271959
Pilanesberg International Airport,272078
Bram Fischer International Airport,272083
Kimberley Airport,272084
Upington Airport,272089
Gainesville Regional Airport,272116
South Cariboo Regional Airport,275580
Glasgow Airport,280312
Glasgow Valley County Airport,280342
Edinburgh Airport,280548
Glasgow Prestwick Airport,282793
Airport security,284770
Henri Coandă International Airport,286401
Washington Dulles Airport,286886
Gimpo International Airport,286912
Sahar International Airport,287181
Chhatrapati Shivaji Maharaj International Airport,287183
Jacksonville International Airport,287193
Key West International Airport,287201
Destin–Fort Walton Beach Airport,287462
Panama City–Bay County International Airport,287469
Palm Beach International Airport,287471
Sarasota–Bradenton International Airport,287478
Melbourne Orlando International Airport,287492
Naples Airport (Florida),287494
Pensacola International Airport,287520
Southwest Florida International Airport,287529
Tallahassee International Airport,287975
Otopeni International Airport,288203
Mohammed V International Airport,288417
Luis Munoz Marin International Airport,288488
Savannah/Hilton Head International Airport,288614
Will Rogers World Airport,290147
Tulsa International Airport,290155
Kansas City International Airport,290172
Buffalo Niagara International Airport,290177
Moscow Domodedovo Airport,291012
Gimhae International Airport,291219
Cherry Capital Airport,291221
McGhee Tyson Airport,291223
Nashville International Airport,291228
Beijing Capital International Airport,291328
Antonio B. Won Pat International Airport,291340
Birmingham Airport,291384
Birmingham–Shuttlesworth International Airport,291386
Gatwick International Airport,291403
Stansted International Airport,291404
General Antonio B. Won Pat International Airport,291585
Nice Côte d'Azur Airport,291627
Belfast International Airport,292039
Geneva Airport,292616
Düsseldorf Airport,292633
Aberdeen Airport,293264
Southampton Airport,293463
Linate Airport disaster,293638
L.F. Wade International Airport,293765
Calgary International Airport,293781
Dublin Airport,293794
Cork Airport,293805
Dublin International Airport,293809
Schiphol International Airport,293914
George Best Belfast City Airport,294524
Greenville–Spartanburg International Airport,294532
Piedmont Triad International Airport,294534
Detroit Metropolitan Airport,294538
Columbia Metropolitian Airport,294547
Asheville Regional Airport,294550
Reno–Tahoe International Airport,294563
Yeager Airport,294568
Charleston International Airport,294579
Edmonton International Airport,294590
Myrtle Beach International Airport,294604
Gulfport–Biloxi International Airport,294930
L.I. MacArthur Airport,294937
Jackson–Medgar Wiley Evers International Airport,294944
Mobile Regional Airport,294952
Boise Airport,294976
Newcastle International Airport,294980
Kahului Airport,295093
Fairbanks International Airport,295107
Huntsville International Airport,295341
Augusta Regional Airport,295360
Augusta State Airport,295380
Shanghai Hongqiao International Airport,295731
Václav Havel Airport Prague,296099
Chennai International Airport,296106
Brisbane International Airport,296375
Cairns Airport,296379
Perth Airport,296393
Pearson International Airport,296790
Cointrin International Airport,298073
Geneva Contrin International Airport,298074
Prestwick International Airport,298517
Kalamazoo/Battle Creek International Airport,299424
El Dorado International Airport,299434
Rick Husband Amarillo International Airport,301134
Corpus Christi International Airport,301140
Colorado Springs Airport,301145
McAllen Miller International Airport,301149
Billy Bishop Toronto City Airport,301579
Valley International Airport,301828
Lubbock Preston Smith International Airport,301834
Sacramento International Airport,301842
Spokane International Airport,301851
Speke Airport,302232
Liverpool Airport,302233
Trondheim Airport,303381
"Birmingham, UK International Airport",304408
Baton Rouge Metropolitan Airport,306336
Lafayette Regional Airport,306339
Baton Rouge Metropolitian Airport,306420
Ninoy Aquino International Airport,307091
Eagle County Regional Airport,307641
Telluride Regional Airport,307653
Rochester International Airport,309348
Greater Rochester International Airport,309356
Harrisburg International Airport,309542
Montréal–Mirabel International Airport,311778
Mirabel International Airport,311780
Pierre Elliott Trudeau International Airport,314904
List of airports by IATA airport code: B,317099
List of airports by IATA airport code: C,317100
List of airports by IATA airport code: D,317102
List of airports by IATA airport code: E,317103
List of airports by IATA airport code: F,317104
List of airports by IATA airport code: G,317105
List of airports by IATA airport code: H,317106
List of airports by IATA airport code: I,317107
List of airports by IATA airport code: J,317108
List of airports by IATA airport code: K,317110
List of airports by IATA airport code: L,317111
List of airports by IATA airport code: M,317112
List of airports by IATA airport code: N,317113
List of airports by IATA airport code: O,317140
List of airports by IATA airport code: P,317141
List of airports by IATA airport code: Q,317142
List of airports by IATA airport code: R,317143
List of airports by IATA airport code: S,317144
List of airports by IATA airport code: T,317145
List of airports by IATA airport code: U,317146
List of airports by IATA airport code: V,317147
List of airports by IATA airport code: W,317148
List of airports by IATA airport code: X,317149
List of airports by IATA airport code: Y,317150
List of airports by IATA airport code: Z,317151
Acapulco International Airport,317155
Alvarez International Airport,317156
Laredo International Airport,317334
Jack Brooks Regional Airport,317336
"September 11, 2001 Terrorist Attack/Airport security",318837
Kraków John Paul II International Airport,320407
Krakow International Airport,320409
London gatwick Airport,320471
Richmond-Airport-Vancouver Rapid Transit Project,320865
Dorval Internation Airport,320916
Airport code,322360
Tirana International Airport Nënë Tereza,322361
CKS International Airport,322387
Chiang Kai-Shek International Airport,322415
Chiang Kai-Shek Airport,322416
Chiang Kai-shek Airport,322417
Songshan Airport,322418
Taipei Sung Shan Airport,322419
Sung Shan Airport,322420
Ithaca Tompkins International Airport,323014
Miguel Hidalgo y Costilla Guadalajara International Airport,323279
Taipei Airport,325943
Hobby Airport,327371
Fukuoka Airport,328225
Chitose airport,328275
Houston International Airport,328833
Ellinikon International Airport,328834
List of Airports:A,329560
List of Airports:B,329562
List of Airports:C,329563
List of Airports:D,329564
List of Airports:E,329565
List of Airports:F,329566
List of Airports:G,329569
List of Airports:H,329570
List of Airports:I,329571
List of Airports:J,329575
List of Airports:K,329576
List of Airports:L,329577
List of Airports:M,329578
List of Airports:N,329579
List of Airports:O,329580
List of Airports:P,329581
List of Airports:Q,329585
List of Airports:R,329586
List of Airports:S,329587
List of Airports:T,329588
List of Airports:U,329589
List of Airports:V,329590
List of Airports:W,329591
List of Airports:X,329592
List of Airports:Y,329593
List of Airports:Z,329595
JFK Airport,330418
Falcone Borsellino Airport,333233
Punta Raisi Airport,333236
Falcone-Borsellino Airport,333237
Airport at Chek Lap Kok,341337
Kimpo Airport,342373
Fairport,344200
William B. Hartsfield International Airport,347440
East Midlands Airport,349437
Amerigo Vespucci Airport,350159
Faa'a International Airport,350949
Ushuaia – Malvinas Argentinas International Airport,352123
Manchester Airport Holdings,353864
Taipei Songshan Airport,354629
Sungshan Airport,354630
Song Shan Airport,354631
Shanghai Pudong International Airport,354666
PuDong International Airport,354667
Pudong International Airport,354668
Stornoway Airport,355355
Pudong Airport,355878
Campbeltown Airport,356726
Eleftherios Venizelos International Airport,357109
Hellinikon International Airport,357110
Kahului International Airport,357281
Baghdad Airport,357877
Shannon International Airport,358441
Taipei Domestic Airport,358963
Brisbane Airport,358971
Legazpi Airport,359002
Lufthansa Airport Services Dresden GmbH,359067
Dulles Airport,360454
Kobe Airport,360676
Suvarnabhumi Airport,360700
Kansai Airport,362986
Pointe-à-Pitre International Airport,363370
List of airports in Greece,364687
Hellenicon Airport,364688
List of Airports in Greece,364695
Kimpo International Airport,365994
Sea-Tac Airport,366593
SeaTac Airport,366595
Seoul-Kimpo International Airport,366924
East Midlands airport,366984
Göteborg Landvetter Airport,367664
Côte d' Azur International Airport,369226
Columbia Metropolitan Airport,371130
JFK International Airport,371732
Komaki International Airport,372222
Lod Airport massacre,373302
Hartsfield Atlanta International Airport,374334
Atlanta Airport (Idaho),374336
ICAO airport code,376521
ICAO Airport Code,376523
Bern Airport,377087
Santa Barbara Municipal Airport,377339
Allama Iqbal International Airport,377377
Benazir Bhutto International Airport,377428
Lahore International Airport,377713
Mactan-Cebu International Airport,378287
Mactan International Airport,378296
List of airports in Belgium,379132
List of Belgian Airport,379136
Hermosillo International Airport,382348
DFW Airport,382377
Kastrup International Airport,383240
Don Mueang Airport,383377
London Biggin Hill Airport,383748
Tegel Airport,384075
Incheon International Airport Expressway,384846
London Southend Airport,384873
Second class airport,385080
Asahikawa Airport,385083
Belp Airport,385147
Yao Airport,386333
Miami Executive Airport,388779
Arturo Michelena International Airport,390500
Winnipeg James Armstrong Richardson International Airport,393443
O'Hare Airport,394959
World's busiest airports,395342
Thiruvananthapuram International Airport,398113
Arturo Merino Benitez International Airport,398375
Airports,398827
Cluj International Airport,399401
Luxembourg Airport,400254
Minneapolis-St. Paul International Airport,400371
Las Vegas McCarran International Airport,400376
Detroit Metro Wayne Airport,400377
List of airports in Poland,400401
Cluj-Napoca Someseni International Airport,400597
Someseni International Airport,400601
List of airports in Japan,400637
Stockholm Bromma Airport,402720
Tempelhof Airport,403750
Richmond-Airport-Vancouver light rail,403988
Cote D' Azur International Airport,404525
Tenerife Airport Disaster,406124
Burbank Airport,408146
Isla Grande Airport,411910
Capital International Airport,414188
Montreal Dorval International Airport,417533
Montreal-Trudeau International Airport,417536
Trudeau International Airport,417538
Trudeau Airport,417539
Montreal-Trudeau Airport,417540
Dorval Airport,417546
Model airports,420796
Chicago O' Hare International Airport,423177
Chung-cheng International Airport,423222
Zhongzheng International Airport,423223
Airport terminal,423849
Okadama Airport,423967
Guangzhou Baiyun International Airport (former),424034
Hakodate Airport,424131
Viru Viru International Airport,424308
Mineta San Jose International Airport,427102
Washington National Airport,427428
Diversion airport,429418
Qidé International Airport,430298
Qide International Airport,430300
Buffalo Airport,431183
Helsinki-Vantaa airport,431980
"Airport security repercussions due to the September 11, 2001 Terrorist Attacks",433100
Airport in Chek Lap Kok,436828
Agadir–Al Massira Airport,439492
Tokyo Narita Airport,445037
Tokyo Narita International Airport,445039
Erkilet International Airport,447649
Kayseri International Airport,447652
Rickenbacker International Airport,450045
Franz Josef Strauss International Airport,450184
Macao International Airport,450753
Molde Airport Årø,451930
Trondheim Airport Værnes,451932
Oslo Airport Gardermoen,452004
Manila International Airport,456359
Hong Kong Kai Tak Airport,456606
Ataturk International Airport,456786
1985 Rome and Vienna airport attacks,458649
"September 11, 2001 attacks/Airport security",463737
Kuwait International Airport,464414
Bahrain International Airport,464443
Sharjah International Airport,464461
Toronto Island Airport,465719
New York JFK International Airport,466932
Thessaloniki Airport,467461
King Khalid Airport,471183
King Khalid International Airport,471186
King Khaled International Airport,471189
List of airports in Germany,471997
Leeds East Airport,474901
Teterboro Airport,475231
Kuwait Airport,479929
Bromma Airport,480168
Lehigh Valley International Airport,480621
Sultan Abdul Aziz Shah Airport,484174
Kabul International Airport,487602
Abu Dhabi International Airport,487794
Al Ain International Airport,487817
Alain International Airport,487819
Al-Ain International Airport,487820
Abou Dhabi International Airport,487826
Abu Zabi International Airport,487827
Dubayy International Airport,487855
Dubay International Airport,487856
Doubai International Airport,487857
Cambeltown Airport,488654
Fujairah International Airport,489143
Sabiha Airport,489485
British Airports Authority,490344
Hong Kong international Airport,497111
Glasgow-Prestwick Airport,497118
Bremen Airport,500570
Airport Parkway (Ottawa),500662
CentrePort/DFW Airport station,503510
"Newark International Airport, New Jersey",505898
Toyama Airport,508860
"Kristiansund Airport, Kvernberget",508920
Yuzhno-Sakhalinsk Airport,508954
Pointe-a-Pitre International Airport,509903
Pointe a Pitre International Airport,509904
Pointe à Pitre International Airport,509905
Guam International Airport,512374
Kona International Airport,512376
Keahole Airport,512380
Savannah-Hilton Head International Airport,515183
Sywell airport,515693
Benito Juarez International Airport,523996
Pyongyang International Airport,531995
List of airports in Turkey,533477
Hannover Airport,536448
Chek Lap Kok Airport,544473
Duesseldorf International Airport,550452
New Bangkok International Airport,553802
Birmingham (UK) International Airport,556002
Campinas International Airport,559051
New York International Airport,559080
Chōfu Airport,567981
Central Japan International Airport,568725
New Tokyo International Airport,571055
Beijing Capital Airport,571157
Arlanda International Airport,574189
Schonefeld International Airport,574219
Schoenefeld International Airport,574221
Suvarnabhumi International Airport,576452
Saskatoon John G. Diefenbaker International Airport,577750
List of airports in the Netherlands,580611
List of airport in the Netherlands,580612
Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,584606
Hukuoka Airport,588145
New Titose Airport,588182
Merrill C. Meigs Field Airport,588293
Cairo International Airport,589227
Airport Drive,593573
Sedona Airport,597835
Las Américas International Airport,599919
Rafael Hernandez International Airport,600994
Paris–Le Bourget Airport,606404
"Airport West, Victoria",613843
Karachi International Airport,617194
Moorabbin Airport,617401
Heathrow Airport Holdings,621759
Quad Cities International Airport,622257
Logan Airport,622933
Ernesto Cortizzos International airport,627609
Okecie International Airport,627800
Antonio Maceo Airport,628453
Christchurch Airport,629022
Gold Coast Airport,630117
Horan International Airport,633284
Ireland West Airport,633285
Knock Airport,633289
Horan Airport,633300
Warsaw Chopin Airport,636093
George F. L. Charles Airport,641851
Vigie Airport,641852
Karlsruhe/Baden-Baden Airport,644973
AirPort Extreme,645156
Inchon International Airport,645440
Klagenfurt Airport,650612
Northeast Philadelphia Airport,652169
Eugenio María de Hostos Airport,660700
Ronald Reagan Washington National Airport station,662541
List of airports in Slovenia,665374
Cochin International Airport,667462
Basel-Mulhouse International Airport,668063
Peter O. Knight Airport,668330
Drew Field Municipal Airport,668353
Cleveland-Hopkins International Airport,669756
Detroit Metro-Wayne International Airport,669768
Groton–New London Airport,670355
Tweed New Haven Airport,670411
Wikipedia:WikiProject Airports,671613
De Gaulle Airport,674685
"Airport Drive, MO",675916
"Airport Road, WY",675919
"Airport Road Addition, TX",675922
Template:Infobox airport/doc,676488
International Airport of Baghdad,676506
List of airports in Australia,676726
Kaohsiung International Airport,680596
Longreach Airport,681210
Ottawa International Airport,681563
Mojave Airport,685039
List of airports in Brazil,685693
Template:Airports in Ireland,691888
Category:Airports,694371
Bristol Airport,699624
Bristol Airport (disambiguation),699632
Chișinău International Airport,700758
Ciampino–G. B. Pastine International Airport,701658
Rafael Hernandez Airport,702366
Phnom Penh International Airport,702431
Eugenio Maria de Hostos Airport,702452
Juan Alvarez International Airport,702517
Kristiansund Airport,705358
Franz Josef Strauß International Airport,706430
Reagan Airport,706542
Wikipedia:Naming conventions (airports),706774
Wikipedia:WikiProject Airports/categorization,706794
Victoria International Airport,708609
Geelong Airport,708718
Manston Airport,710837
Regina International Airport,713844
Charlottetown Airport,713875
AirPort Express,714231
Augusto C. Sandino International Airport,714348
Augusto César Sandino International Airport,714356
José Joaquín de Olmedo International Airport,715410
Alfonso Bonilla Aragón International Airport,715453
Simon Bolivar International Airport,715473
Alfonso Bonilla Aragon International Airport,715477
Gander International Airport,716409
Seychelles International Airport,716442
Praslin Island Airport,716449
Thomas Sankara International Airport Ouagadougou,716503
Imam Khomeini International Airport,716542
Guatemala City International Airport,716648
La Aurora International Airport,716665
Minot International Airport,718177
Olaya Herrera Airport,718971
São Paulo/Guarulhos International Airport,719074
Cumbica Airport,719075
Avalon Airport,719121
Bucharest Otopeni Airport,719996
Toncontín International Airport,722396
Jose Marti International Airport,722412
Wikipedia:WikiProject Airports/country,722441
Akron–Canton Airport,723213
Juana Azurduy de Padilla International Airport,724940
Wiley Post Airport,725122
Dayton International Airport,725509
Sloulin Field International Airport,726835
Jamestown Regional Airport,726851
Grand Forks International Airport,726878
Mark Andrews International Airport,726879
Quatro de Fevereiro Airport,727038
4 de Fevereiro Airport,727047
Houari Boumediene Airport,727058
Devils Lake Regional Airport,728162
Dickinson Theodore Roosevelt Regional Airport,728182
Bismarck Municipal Airport,728233
Pulkovo Airport,729860
Sabiha Gökçen Airport,729943
Leoš Janáček Airport Ostrava,729947
Wikipedia:Votes for deletion/Airport Parkway et al,730241
Oulu Airport,731094
Laughlin/Bullhead International Airport,732154
Wikipedia:WikiProject Airports/interwiki,732220
Indira Gandhi airport,734042
"Birmingham, AL International Airport",734937
Farnborough Airport,735194
V. C. Bird International Airport,736434
Zvartnots International Airport,736493
Philip S. W. Goldson International Airport,736515
Phillip S. W. Goldson International Airport,736518
Heydar Aliyev International Airport,736545
Osvaldo Vieira International Airport,737294
Queen Alia International Airport,737338
Lisbon Airport,737934
Queen Alia Airport,738013
Yaser Arafat International Airport,738026
Sabiha Gokcen Airport,740202
Airport Expressway (Beijing),740394
List of airports in Thailand,740558
Mojave Airport Civilian Flight Test Center,740956
Austin Bergstrom International Airport,741568
James M. Cox International Airport,741709
Mojave airport,741972
List of airports in Canada (A–B),742537
Cleveland Hopkins Airport,742645
Cleveland-Hopkins Airport,742647
Akron Canton Airport,742654
Salgado Filho Porto Alegre International Airport,743227
Miguel Hidalgo International Airport,743254
Don Miguel Hidalgo International Airport,743256
Malton Airport,744318
Toronto International Airport,744320
Toronto Pearson Airport,744402
Pearson Airport,744405
Toronto-Pearson Airport,744406
Toronto-Pearson International Airport,744413
Toronto Lester Pearson International Airport,744416
Toronto-Lester Pearson International Airport,744417
Toronto-Lester B. Pearson International Airport,744418
Syracuse Airport,744990
Hancock International Airport,744993
Greater Binghamton Airport,745057
Elmira Corning Regional Airport,746496
Leornardo Da Vinci airport,752450
P'u-tung International Airport,755867
Hung-ch'iao Airport,755869
CKS Airport,755870
Jiang Jièshí International Airport,755877
Jiang Jieshi International Airport,755879
Ras Al Khaimah International Airport,756103
Anchorage International Airport,760809
Hana Airport,762186
Kalaupapa Airport,762187
Kapalua Airport,762189
Lanai Airport,762190
Molokai Airport,762191
Hilo International Airport,762193
Waimea-Kohala Airport,762194
Jefferson County Airport (Texas),762469
Kalaeloa Airport,763869
Port Allen Airport,763997
ʻUpolu Airport,764012
Orlando Executive Airport,765458
Las Americas International Airport,766215
Madrid-Barajas International Airport,769096
Airport 5,769641
Lana'i Airport,770809
Greater Buffalo-Niagara Falls International Airport,773297
Maastricht Aachen Airport,774590
Aarhus Airport,774675
Molde-Aaro Airport,774690
Acapulco Airport,774812
1985 Manchester Airport disaster,776079
Naha Airport,778923
James M. Cox Dayton International Airport,786793
"Fairport Harbor, OH",794160
Frederick Chopin International Airport,795691
Cobb County International Airport,796318
Durham Tees Valley Airport,796327
Gwinnett County Airport,796333
Fulton County Airport,796352
Teesside Airport,796659
Wikipedia:Votes for deletion/Aarhus Airport,804064
Riga International Airport,806442
Guangzhou Baiyun International Airport,810251
Wikipedia:Votes for deletion/Maastricht Aachen Airport,810401
Dakar-Yoff-Leopold Sedal Senghor International Airport,814760
Stockholm-Arlanda airport,818501
Vágar Airport,826681
Riga international airport,827505
Idlewild Airport,828107
Space Coast Regional Airport,828321
Merritt Island Airport,828322
Charles B. Wheeler Downtown Airport,847647
Metropolitan Airports Commission,849678
Netaji Subhas Chandra Bose International Airport,850001
"Airport railway line, Brisbane",853491
Manila Domestic Airport,853498
Jan Smuts Airport,858184
Sarajevo International Airport,858363
Norwich Airport,858900
Norwich Airport (disambiguation),858903
Hobart Airport,860952
Hobart Airport (disambiguation),860960
Launceston Airport,864396
Hartsfield airport,865886
Airport 77,868844
Airport: the Concorde,868847
Helsinki-Malmi Airport,873226
Tampere–Pirkkala Airport,873234
Love Field Airport,873918
Doha International Airport,874889
Reno Stead Airport,876341
List of airports in India,879550
Santacruz Airport,882129
Big Flats Airport,883915
Tolmachevo Airport,891215
Novosibirsk Airport,891224
King County International Airport,891444
Vnukovo International Airport,894810
Thunder Bay International Airport,895233
108 Airport,897392
Ely Airport,898170
Hamburg Airport,900545
Kerry Airport,901719
Sligo Airport,901723
Farranfore Airport,901725
Ft. Lauderdale International Airport,903454
Orlando Municipal Airport,903597
Herndon Airport,903599
Fairoaks Airport,904887
José María Córdova International Airport,907089
Le Bourget airport,908349
General Abelardo L. Rodriguez International Airport,909448
List of airports in Finland,913954
Dresden Airport,917790
Palmdale Regional Airport,919680
Liepāja International Airport,920502
Ventspils International Airport,920506
Rockcliffe Airport,922075
Rockcliff Airport,922088
City of Derry Airport,923979
